composition,target_ND300,target_NUD300,ND300_pred,NUD300_pred,DENSITY_pred,TG_pred,PbO,glass_family,distance_to_training,feasible,anomaly_oxide,oxide_SIO2,oxide_AL2O3,oxide_B2O3,oxide_CAO,oxide_K2O,oxide_NA2O,oxide_PBO,oxide_Li2O,oxide_MgO,oxide_SRO,oxide_BAO,oxide_ZNO,oxide_P2O5,oxide_GEO2,oxide_ZRO2,oxide_TIO2,oxide_TEO2,oxide_Bi2O3,oxide_WO3,oxide_RO,oxide_FemOn,oxide_R2O3,oxide_R2O5,oxide_RO2,gan_rank
B2O3=7.34; R2O3=20.82; R2O5=6.13; RO2=27.07; SIO2=7.90; TIO2=23.11; WO3=1.26; ZRO2=6.27,2.05,35.0,1.9434211254119873,26.712474822998047,4.742369927007033,652.46728515625,0.0,heavy flint,1.049305185096287,True,False,7.900013,0.00042445812,7.3429904,1.5386941e-07,9.246017e-05,0.00034147635,0.0,0.05059505,9.678271e-11,1.96287e-06,4.980508e-05,0.0024655845,3.1770167e-06,0.022144558,6.2656207,23.105482,0.0024967566,0.032008924,1.2594646,0.0028638402,3.7044747e-06,20.815538,6.1264634,27.07094,17
B2O3=13.65; R2O3=31.32; R2O5=12.25; RO=0.57; RO2=17.80; SIO2=6.66; TIO2=8.80; WO3=3.47; ZRO2=4.55,2.05,30.0,1.943052053451538,27.90415382385254,4.912557318404247,591.54345703125,0.0,uncertain,1.4466249760186491,True,False,6.6556854,0.06800599,13.650988,0.002460815,0.001029414,0.002481916,0.0,0.03836153,3.0308963e-06,0.01087825,0.04601103,0.4572027,0.018101444,0.21504457,4.55268,8.798704,5.52081e-07,0.081873834,3.4711792,0.5663911,0.0020619454,31.316965,12.247145,17.796734,18
B2O3=8.88; R2O3=31.50; R2O5=34.86; RO2=3.85; SIO2=15.69; TIO2=0.62; ZRO2=4.38,2.05,35.0,1.9426078796386719,34.94541931152344,4.575549158988232,618.3347778320312,0.0,uncertain,1.526448320445037,True,False,15.685706,0.10131176,8.884189,1.9187346e-06,3.1711838e-07,1.860825e-07,0.0,0.00015760309,2.6623981e-08,0.0059379064,1.8864408e-07,0.0049433075,1.2252886e-05,1.6923183e-06,4.3778224,0.6175442,2.513323e-16,0.0004188444,0.10869491,0.0039131274,1.10478005e-07,31.503344,34.85762,3.8483784,19
B2O3=7.00; GEO2=0.86; R2O3=20.40; R2O5=21.20; RO2=19.18; SIO2=14.39; TIO2=7.27; WO3=3.46; ZRO2=6.13,2.05,35.0,1.9422515630722046,26.178251266479492,4.967661000654035,603.3552856445312,0.0,uncertain,1.6138051958516164,True,False,14.39019,0.0008649013,6.995564,3.80853e-08,2.0160799e-06,9.670656e-05,0.0,0.013314195,2.6248163e-08,4.6586938e-05,4.3763714e-05,0.051279202,0.00024968758,0.85982764,6.127227,7.2670236,0.00018682341,0.0016880448,3.4613807,0.054269493,6.870365e-05,20.397186,21.20269,19.176796,20
B2O3=7.62; R2O3=19.92; R2O5=17.49; RO2=22.68; SIO2=12.12; TIO2=11.19; WO3=2.61; ZRO2=6.18,2.05,35.0,1.9404642581939697,25.224153518676758,4.959900620358776,623.1868286132812,0.0,uncertain,1.4213668614666093,True,False,12.117996,0.044870675,7.6177278,3.59787e-06,1.2625805e-05,1.2000979e-05,0.0,0.008800064,1.0130128e-06,0.00038113308,2.5415931e-05,0.0055892216,6.341056e-05,0.12042585,6.181247,11.193434,5.680472e-07,0.00075185345,2.6146202,0.004980947,1.0118915e-05,19.922592,17.491009,22.67545,21
B2O3=5.32; R2O3=18.58; R2O5=5.29; RO2=22.81; SIO2=12.09; TIO2=26.00; WO3=3.51; ZRO2=5.96,2.05,30.0,1.939232587814331,26.068401336669922,5.062610536045682,652.37109375,0.0,heavy flint,1.234039700200393,True,False,12.08655,0.0014378437,5.3157573,1.3679294e-06,0.00010844344,0.004072983,0.0,0.11260236,3.2571181e-09,0.00075215823,0.00045942573,0.07474029,5.4030697e-05,0.009468632,5.958202,25.99996,0.015561125,0.16049877,3.5063744,0.07571425,0.0025916754,18.579126,5.285301,22.810661,22
B2O3=9.84; R2O3=23.16; R2O5=5.20; RO=1.38; RO2=21.88; SIO2=5.49; TIO2=20.52; WO3=5.42; ZNO=1.29; ZRO2=5.17,2.05,26.0,1.939117431640625,27.252864837646484,5.1508328174437725,633.3359985351562,0.0,heavy flint,1.4235282879244517,True,False,5.490304,0.0040374123,9.835946,0.00045455294,0.0012920365,0.012158072,0.0,0.20915249,2.5099876e-06,0.014715099,0.018046863,1.2888272,0.007259605,0.112470545,5.1734185,20.515068,0.012213762,0.23354721,5.4202676,1.3792658,0.025559805,23.16365,5.2001348,21.882204,23
B2O3=11.91; R2O3=28.67; R2O5=20.62; RO2=14.32; SIO2=8.00; TIO2=8.55; WO3=3.17; ZRO2=4.38,2.05,30.0,1.9387822151184082,26.64885902404785,4.8928579758311255,580.602294921875,0.0,uncertain,1.5693718944593256,True,False,7.998806,0.04335221,11.914164,8.097608e-06,0.00020259124,0.0005108896,0.0,0.15620597,1.9429078e-09,4.4880548e-05,0.00017947666,0.004506205,0.00048426178,0.09789641,4.378698,8.5535555,4.9406776e-06,0.06975179,3.1730723,0.004910383,0.00011308295,28.668657,20.617413,14.317462,24
B2O3=5.46; GEO2=1.51; R2O3=19.29; R2O5=6.21; RO2=26.51; SIO2=9.26; TIO2=23.33; WO3=3.19; ZRO2=5.06,2.05,30.0,1.938531517982483,26.643552780151367,4.951013047068218,641.3070068359375,0.0,heavy flint,1.375670877368677,True,False,9.259454,0.0008046468,5.461477,3.823488e-08,2.7148737e-06,0.0003517706,0.0,0.018789425,1.6450631e-09,5.7471494e-05,0.00031546204,0.07133274,7.229842e-05,1.505082,5.055093,23.333588,0.024966704,0.0034262827,3.1947706,0.059458323,0.0016721506,19.291674,6.206585,26.511028,25
B2O3=7.42; R2O3=23.70; R2O5=3.34; RO2=20.51; SIO2=8.44; TIO2=23.12; WO3=7.83; ZRO2=4.62,2.05,35.0,1.9380558729171753,26.414358139038086,5.134073304856475,622.3946533203125,0.0,heavy flint,1.6393323202239904,True,False,8.443384,0.0017887567,7.416299,1.2915659e-05,0.00019848254,0.0029336712,0.0,0.1805738,9.8626195e-08,0.0032386314,0.0016559965,0.3337271,0.00026720896,0.03259926,4.618163,23.124065,0.0027234217,0.09683821,7.8347907,0.35806215,0.0045262775,23.696592,3.3405066,20.507057,26
B2O3=11.19; GEO2=0.91; Li2O=0.76; R2O3=23.97; R2O5=10.31; RO2=24.68; SIO2=7.47; TIO2=8.81; WO3=0.70; ZRO2=10.73,2.05,26.0,1.9377996921539307,28.730562210083008,4.790763393696698,650.9920654296875,0.0,lanthanum,1.2474771836540277,True,False,7.4672894,0.0042019677,11.192405,2.5984439e-06,0.00075166475,0.027547361,0.0,0.7633581,2.499657e-10,4.37606e-07,0.00056955265,0.016784085,0.0007047404,0.9142559,10.734231,8.812773,0.29550043,0.09106566,0.6992085,0.015079271,0.00012344534,23.966398,10.314355,24.683397,27
B2O3=6.54; GEO2=1.30; R2O3=20.17; R2O5=26.50; RO2=15.42; SIO2=11.33; TIO2=5.81; WO3=5.40; ZRO2=7.42,2.05,30.0,1.937384009361267,26.713396072387695,5.138104972700801,623.6888427734375,0.0,lanthanum,1.622061565520456,True,False,11.32742,0.02803757,6.5381103,1.8607877e-09,6.3426514e-06,4.792154e-05,0.0,0.08369076,1.3418691e-12,6.5525505e-08,1.0193412e-06,3.6463458e-05,5.895234e-06,1.2990122,7.422026,5.811917,0.00045527527,0.0040339786,5.395989,3.472112e-05,5.933985e-06,20.174358,26.496437,15.418371,28
B2O3=6.55; R2O3=20.38; R2O5=3.66; RO=1.30; RO2=27.70; SIO2=7.96; TIO2=24.11; WO3=1.98; ZNO=1.06; ZRO2=4.53,2.05,26.0,1.937307596206665,26.563623428344727,4.827473340767154,645.7260131835938,0.0,heavy flint,1.2884959432999514,True,False,7.9581594,0.022216462,6.55378,0.0035043769,0.0029895331,0.015744774,0.0,0.1670514,1.4458318e-06,0.11935425,0.04900095,1.0578852,0.011769191,0.0090941,4.531308,24.106478,0.013307604,0.20398526,1.9777155,1.2968639,0.16081662,20.376225,3.6586602,27.704092,29
B2O3=15.68; R2O3=33.73; R2O5=11.59; RO2=18.73; SIO2=5.43; TIO2=9.31; WO3=0.63; ZRO2=4.34,2.0,35.0,1.9370487928390503,29.527637481689453,4.74002215333794,601.7818603515625,0.0,uncertain,1.3908512629679655,True,False,5.426031,0.13831596,15.684661,3.0667907e-05,1.6814165e-05,8.017746e-06,0.0,0.0026539876,6.549734e-07,6.396289e-05,0.0001685905,0.0023654292,7.97341e-05,0.4198542,4.337574,9.3059845,6.6323453e-09,0.00022181206,0.6306062,0.0031716274,8.070875e-07,33.7302,11.592729,18.725262,30
B2O3=12.70; R2O3=29.51; R2O5=10.46; RO2=19.77; SIO2=8.09; TIO2=10.08; WO3=1.89; ZRO2=6.52,2.0,35.0,1.937038779258728,29.169837951660156,4.828053537369277,632.412109375,0.0,uncertain,1.20080919005633,True,False,8.085568,0.004721289,12.70372,7.4846226e-05,4.1508494e-05,0.000358955,0.0,0.0954531,4.2424062e-06,0.00038380167,0.001214658,0.40544286,0.00019129593,0.07272487,6.517636,10.079734,4.7607036e-06,0.003138145,1.8861003,0.4068634,2.4681452e-05,29.513058,10.456638,19.7669,31
B2O3=8.25; R2O3=29.42; R2O5=16.55; RO2=14.33; SIO2=9.23; TIO2=10.68; WO3=4.63; ZRO2=6.21,2.05,26.0,1.9368666410446167,23.34918975830078,5.1466755128000665,642.4768676757812,0.0,uncertain,1.5189486129215681,True,False,9.23021,0.013386018,8.247992,1.4556528e-06,0.00019916403,0.004067546,0.0,0.09604484,3.5398226e-10,0.00076872105,0.0010845078,0.04514622,0.0013845572,0.15801625,6.214726,10.682315,0.0017640356,0.29104367,4.6268587,0.052162055,0.027884133,29.422375,16.549068,14.333505,32
B2O3=4.79; GEO2=1.30; R2O3=15.83; R2O5=5.20; RO2=22.77; SIO2=10.16; TIO2=25.81; WO3=7.92; ZRO2=5.56,2.05,30.0,1.9368497133255005,25.617650985717773,5.14726394799928,643.5076904296875,0.0,heavy flint,1.567648087682806,True,False,10.156689,0.0009112453,4.790137,2.7958686e-07,1.0670772e-05,0.00073400716,0.0,0.09113423,2.3167106e-08,0.00012891536,0.00030873794,0.07964329,0.0001398405,1.3009099,5.563995,25.80834,0.40345228,0.0041810367,7.9152527,0.07610275,0.0025907864,15.831516,5.200964,22.77286,33
B2O3=10.79; GEO2=2.35; R2O3=23.99; R2O5=19.55; RO2=19.44; SIO2=5.77; TIO2=2.67; WO3=6.87; ZRO2=8.49,2.05,35.0,1.9363571405410767,26.74321937561035,5.181097237503794,599.3130493164062,0.0,lanthanum,1.421186702117134,True,False,5.773163,0.0026913078,10.785945,1.4061197e-08,1.1186113e-05,0.00013952225,0.0,0.061808474,1.5345615e-10,1.4163568e-07,2.1971951e-05,0.0009020935,2.6191014e-05,2.349094,8.489305,2.6744547,0.0006107201,0.0052256067,6.873135,0.0011973283,2.1366484e-06,23.991245,19.546661,19.444357,34
B2O3=7.75; R2O3=31.49; R2O5=6.10; RO2=19.44; SIO2=17.26; TIO2=11.33; ZRO2=6.14,2.05,35.0,1.9358516931533813,30.640077590942383,4.680559129387122,700.7911376953125,0.0,uncertain,0.9035647867317496,True,False,17.263674,0.014777947,7.747245,2.375079e-07,1.4576428e-06,8.376089e-05,0.0,0.097296715,1.2327072e-09,7.5240578e-06,3.82548e-05,0.009185195,1.1448957e-07,0.0021306772,6.1395845,11.33373,6.096513e-05,8.908005e-05,0.35734367,0.0077357646,4.5084516e-06,31.485527,6.101425,19.440062,35
B2O3=11.06; Bi2O3=0.80; Li2O=0.52; R2O3=28.54; R2O5=16.28; RO2=17.67; SIO2=6.32; TIO2=10.99; ZRO2=7.17,2.05,26.0,1.9355958700180054,25.868539810180664,4.862226138399933,624.6204833984375,0.0,uncertain,1.324131315708644,True,False,6.318111,0.0154931,11.064594,6.7071653e-07,0.001295021,0.0073840767,0.0,0.5198854,6.6851266e-13,7.7561486e-07,9.262936e-05,0.0004890065,0.0031390016,0.12337462,7.171464,10.991574,0.09946303,0.7959695,0.4047119,0.0010090417,0.0011739375,28.536764,16.277088,17.66692,36
B2O3=12.04; R2O3=31.58; R2O5=13.97; RO=0.54; RO2=16.62; SIO2=12.75; TIO2=3.22; WO3=1.86; ZNO=0.57; ZRO2=6.47,2.0,35.0,1.935295581817627,29.12826156616211,4.836202097726758,642.4794311523438,0.0,uncertain,1.2750057673322763,True,False,12.752456,0.0021083825,12.04483,4.5405534e-07,7.794348e-07,6.221105e-05,0.0,0.0071548033,4.5897934e-07,4.381337e-05,0.00029092559,0.57374203,0.00011905894,0.3755186,6.4697137,3.2171004,5.104699e-08,0.00029895752,1.8626457,0.53643966,4.232764e-06,31.575865,13.9652405,16.616365,37
B2O3=8.46; Bi2O3=1.15; R2O3=31.40; R2O5=18.25; RO2=10.22; SIO2=13.62; TIO2=8.96; WO3=3.22; ZRO2=4.00,2.05,30.0,1.9349429607391357,26.79669761657715,5.1366443138411215,580.512939453125,0.0,uncertain,1.3915185922960258,True,False,13.619296,0.018546749,8.455812,0.000114953626,0.0006469026,0.0012256168,0.0,0.03585841,6.18784e-08,0.12673047,0.0011914836,0.24080065,0.0033053588,0.0005235366,4.0031595,8.963402,2.4384389e-07,1.148666,3.2230127,0.2735446,0.011609763,31.395336,18.254534,10.222678,38
B2O3=11.21; R2O3=28.97; R2O5=8.10; RO2=20.15; SIO2=5.84; TIO2=8.35; WO3=10.72; ZRO2=5.66,2.05,30.0,1.934926152229309,30.16074562072754,5.204155621554685,614.426025390625,0.0,uncertain,1.6499025147056536,True,False,5.838107,0.00093066826,11.214378,1.9491895e-06,2.5924086e-05,0.00069519284,0.0,0.11083187,5.0010335e-08,8.946083e-05,0.00080107985,0.25479332,0.00036431628,0.34971917,5.6619315,8.345799,0.00039051787,0.019985745,10.724756,0.2594676,0.00024720584,28.97201,8.099062,20.145618,39
B2O3=10.04; R2O3=26.07; R2O5=7.95; RO=1.47; RO2=19.22; SIO2=5.53; TIO2=13.86; WO3=9.53; ZNO=1.46; ZRO2=4.48,2.05,30.0,1.934888243675232,28.66827392578125,5.256086088417465,639.687255859375,0.0,heavy flint,1.7061904365049048,True,False,5.5339975,0.0010190184,10.040053,2.1149817e-05,9.472022e-05,0.0026349856,0.0,0.14002272,1.4240635e-07,0.0026802327,0.0020889586,1.4565359,0.0038292878,0.042750448,4.481704,13.855076,4.2756576e-05,0.18629584,9.533057,1.4698852,0.002807483,26.074759,7.9457865,19.224854,40
B2O3=9.30; R2O3=22.91; R2O5=6.67; RO=0.77; RO2=21.58; SIO2=5.26; TIO2=20.71; WO3=5.81; ZNO=0.75; ZRO2=5.70,2.05,30.0,1.9346376657485962,24.841318130493164,5.1486279385134655,626.64306640625,0.0,heavy flint,1.4718960627284294,True,False,5.263086,0.00031496398,9.298889,3.2973644e-06,8.169788e-05,0.0057151867,0.0,0.18454261,1.51033e-08,0.00082029647,0.0019246998,0.7510216,0.002533877,0.13890713,5.7044754,20.712337,0.042352445,0.13809673,5.807451,0.7693617,0.010950938,22.914654,6.66932,21.583162,41
B2O3=6.53; R2O3=19.32; R2O5=4.12; RO2=26.71; SIO2=7.05; TIO2=30.57; WO3=1.94; ZRO2=3.49,2.05,30.0,1.9344087839126587,25.964887619018555,4.822348026759835,646.4317626953125,0.0,heavy flint,1.3019002388094938,True,False,7.0474463,0.0027755266,6.5286965,1.0377469e-05,0.00035561176,0.00043189657,0.0,0.09246709,8.279515e-09,0.0004997094,0.00019639592,0.015760183,3.8564696e-05,0.0042781574,3.4926205,30.567974,0.00029579113,0.1348548,1.9425752,0.01880372,0.00014354647,19.316273,4.1212764,26.71223,42
B2O3=8.87; Li2O=0.66; R2O3=23.86; R2O5=5.18; RO2=24.52; SIO2=8.58; TIO2=21.10; WO3=2.06; ZRO2=4.86,2.0,30.0,1.9343104362487793,27.70954132080078,4.811328747309031,639.6417846679688,0.0,heavy flint,1.1734588952931786,True,False,8.580436,0.024850057,8.872409,0.00014108891,0.0015675949,0.006201969,0.0,0.65514815,5.3035322e-08,0.00025617165,0.0013762878,0.043766625,0.0010634833,0.08246272,4.856426,21.098562,0.041379653,0.06988077,2.0595486,0.04452021,0.0023898112,23.8612,5.1757903,24.520622,43
B2O3=7.30; Bi2O3=0.74; R2O3=23.01; R2O5=4.10; RO=0.57; RO2=24.84; SIO2=9.32; TIO2=22.73; WO3=1.64; ZRO2=4.57,2.05,26.0,1.9340368509292603,24.946718215942383,4.774167992553544,616.9287109375,0.0,heavy flint,1.2081778815470219,True,False,9.324774,0.01815765,7.2973876,0.0003320888,0.0033883979,0.035302494,0.0,0.33012462,3.3703607e-08,0.038000442,0.009473723,0.49821818,0.0038222915,0.002218041,4.5710683,22.730001,0.027859127,0.739168,1.6417191,0.5665474,0.20559487,23.012777,4.103179,24.840887,44
B2O3=3.56; GEO2=2.02; R2O3=16.04; R2O5=9.67; RO2=23.11; SIO2=13.98; TIO2=21.52; WO3=4.28; ZRO2=5.80,2.05,30.0,1.9339748620986938,26.895404815673828,5.08922695841175,648.1654663085938,0.0,heavy flint,1.4432136422840378,True,False,13.975234,0.007799819,3.5637214,1.1196563e-08,1.5168713e-06,4.0283845e-05,0.0,0.0057428293,2.7572606e-09,4.2208165e-05,3.7146838e-05,0.0045374143,1.07549395e-05,2.0232098,5.7971773,21.52119,0.0010229048,0.0003902287,4.283634,0.003832688,0.00021371189,16.035328,9.66941,23.107426,45
